cif,formula,tipo_compuesto_real,compuesto_predicho_como,valor_salida_red,grupo_espacial,numero_sitios,numero_elementos
1000179,Na0.22Fe2F6,Perovskita,Perovskita,99.56,167,3,3.0
1000293,PrNiO3,Perovskita,Perovskita,99.3,167,3,3.0
1001054,Ba1Ta0.5Co0.5O3,Perovskita,Perovskita,99.82,221,3,4.0
1001186,Ca0.91Ta0.84O3,Perovskita,Perovskita,95.94,221,3,3.0
1001775,TaSnO3,Perovskita,Perovskita,95.06,221,3,3.0
1004099,K0.13Ba0.87Bi1O3,Perovskita,Perovskita,98.43,221,3,4.0
1008110,Mn3GaC,Perovskita,Perovskita,95.42,221,3,3.0
1009040,Mn3IrN,Perovskita,Perovskita,99.05,221,3,3.0
1009044,Mn3NiN,Perovskita,Perovskita,97.7,221,3,3.0
1009045,Mn3PdN,Perovskita,Perovskita,98.48,221,3,3.0
1009046,Mn3PtN,Perovskita,Perovskita,99.07,221,3,3.0
1009048,Mn3RhN,Perovskita,Perovskita,99.04,221,3,3.0
1009050,Mn3SnN,Perovskita,Perovskita,98.69,221,3,3.0
1010118,CsHgBr3,Perovskita,No_perovskita,38.47,221,3,3.0
1010119,Cs1Hg1Br2.01Cl0.99,Perovskita,Perovskita,55.04,221,3,4.0
1010120,Cs1Hg1Br0.99Cl2.01,Perovskita,Perovskita,61.56,221,3,4.0
1010121,CsHgCl3,Perovskita,Perovskita,68.59,221,3,3.0
1010122,CsCdBr3,Perovskita,Perovskita,72.19,221,3,3.0
1010322,Cs1Ag0.5Au0.5Cl3,Perovskita,Perovskita,71.75,221,3,4.0
1010323,Cs1Au1Cl3,Perovskita,Perovskita,98.28,221,3,3.0
1010406,BaCeO3,Perovskita,Perovskita,99.49,221,3,3.0
1010419,NaWO3,Perovskita,Perovskita,63.18,221,3,3.0
1010420,Na0.35W1O3,Perovskita,Perovskita,93.05,221,3,3.0
1010424,SrZrO3,Perovskita,Perovskita,99.61,221,3,3.0
1010900,CsIO3,Perovskita,Perovskita,67.71,221,3,3.0
1010902,TiCdO3,Perovskita,Perovskita,94.25,221,3,3.0
1010928,CaCO3,Perovskita,Perovskita,99.67,167,3,3.0
1011000,Na0.5Ca0.2Ce0.3Ti0.8Nb0.2O3,Perovskita,Perovskita,94.19,221,3,6.0
1011029,NaNO3,Perovskita,Perovskita,98.53,167,3,3.0
1011064,NaNbO3,Perovskita,Perovskita,62.8,221,3,3.0
1011211,CaTiO3,Perovskita,Perovskita,99.62,221,3,3.0
1011212,Na0.3Ca0.7Ti0.7Nb0.3O3,Perovskita,Perovskita,97.58,221,3,5.0
1011228,MnCO3,Perovskita,Perovskita,98.99,167,3,3.0
1011340,LiNO3,Perovskita,Perovskita,99.23,167,3,3.0
1100063,MgNi3C,Perovskita,No_perovskita,8.56,221,3,3.0
1501488,Mg0.227Ti0.32Nb0.453Pb1O3,Perovskita,Perovskita,76.61,221,3,5.0
